Región,Productos seleccionados,Unidad de medida,Período,Precio,Año,Mes,Orden_Periodo
Cuyo,Jabón de tocador,125 g,Año 2017 - Julio,14.25,2017,Julio,201707.0
Patagonia,Pan francés,kg,Año 2017 - Julio,38.68,2017,Julio,201707.0
Patagonia,Harina de trigo común,kg,Año 2017 - Julio,11.79,2017,Julio,201707.0
Patagonia,Arroz blanco simple,kg,Año 2017 - Julio,26.33,2017,Julio,201707.0
Patagonia,Fideos secos tipo guisero,500 g,Año 2017 - Julio,21.02,2017,Julio,201707.0
Patagonia,Carne picada común,kg,Año 2017 - Julio,91.64,2017,Julio,201707.0
Patagonia,Pollo entero,kg,Año 2017 - Julio,43.04,2017,Julio,201707.0
Patagonia,Aceite de girasol,"1,5 litros",Año 2017 - Julio,50.25,2017,Julio,201707.0
Patagonia,Leche fresca entera sachet,Litro,Año 2017 - Julio,24.36,2017,Julio,201707.0
Patagonia,Huevos de gallina,Docena,Año 2017 - Julio,43.78,2017,Julio,201707.0
Patagonia,Papa,kg,Año 2017 - Julio,18.95,2017,Julio,201707.0
Patagonia,Azúcar,kg,Año 2017 - Julio,21.38,2017,Julio,201707.0
Patagonia,Detergente líquido,750 cc,Año 2017 - Julio,34.91,2017,Julio,201707.0
Patagonia,Lavandina,1.000 cc,Año 2017 - Julio,16.21,2017,Julio,201707.0
Patagonia,Jabón de tocador,125 g,Año 2017 - Julio,15.3,2017,Julio,201707.0
GBA,Pan francés,kg,Año 2017 - Agosto,39.43,2017,Agosto,201708.0
GBA,Harina de trigo común,kg,Año 2017 - Agosto,10.65,2017,Agosto,201708.0
GBA,Arroz blanco simple,kg,Año 2017 - Agosto,21.25,2017,Agosto,201708.0
GBA,Fideos secos tipo guisero,500 g,Año 2017 - Agosto,19.73,2017,Agosto,201708.0
GBA,Carne picada común,kg,Año 2017 - Agosto,73.4,2017,Agosto,201708.0
GBA,Pollo entero,kg,Año 2017 - Agosto,36.21,2017,Agosto,201708.0
GBA,Aceite de girasol,"1,5 litros",Año 2017 - Agosto,52.35,2017,Agosto,201708.0
GBA,Leche fresca entera sachet,Litro,Año 2017 - Agosto,21.72,2017,Agosto,201708.0
GBA,Huevos de gallina,Docena,Año 2017 - Agosto,33.63,2017,Agosto,201708.0
GBA,Papa,kg,Año 2017 - Agosto,14.35,2017,Agosto,201708.0
GBA,Azúcar,kg,Año 2017 - Agosto,19.58,2017,Agosto,201708.0
GBA,Detergente líquido,750 cc,Año 2017 - Agosto,20.1,2017,Agosto,201708.0
GBA,Lavandina,1.000 cc,Año 2017 - Agosto,15.64,2017,Agosto,201708.0
GBA,Jabón de tocador,125 g,Año 2017 - Agosto,14.24,2017,Agosto,201708.0
Pampeana,Pan francés,kg,Año 2017 - Agosto,32.32,2017,Agosto,201708.0
Pampeana,Harina de trigo común,kg,Año 2017 - Agosto,11.19,2017,Agosto,201708.0
Pampeana,Arroz blanco simple,kg,Año 2017 - Agosto,21.76,2017,Agosto,201708.0
Pampeana,Fideos secos tipo guisero,500 g,Año 2017 - Agosto,17.79,2017,Agosto,201708.0
Pampeana,Carne picada común,kg,Año 2017 - Agosto,77.0,2017,Agosto,201708.0
Pampeana,Pollo entero,kg,Año 2017 - Agosto,38.37,2017,Agosto,201708.0
Pampeana,Aceite de girasol,"1,5 litros",Año 2017 - Agosto,54.91,2017,Agosto,201708.0
Pampeana,Leche fresca entera sachet,Litro,Año 2017 - Agosto,23.58,2017,Agosto,201708.0
Pampeana,Huevos de gallina,Docena,Año 2017 - Agosto,33.4,2017,Agosto,201708.0
Pampeana,Papa,kg,Año 2017 - Agosto,14.26,2017,Agosto,201708.0
Pampeana,Azúcar,kg,Año 2017 - Agosto,19.21,2017,Agosto,201708.0
